requirement_id,domain,requirement,classification,authoritative_evidence,next_action,owner
GOV-001,governance,AGENTS policy is authoritative,proven,AGENTS.md and baseline command evidence,Keep enforced,WS-01
GOV-002,governance,Persistent current state and ledgers,proven,program artifacts parse and validator passes,Maintain at every increment,WS-02
GOV-003,governance,Global requirement traceability,proven,78 unique requirements and all domains pass executable validation,Expand when new requirements appear,WS-02
GOV-004,governance,Producer critic fixer verifier separation,weak_evidence,Role-separated process declared but same model executes,Record explicit reviews and require human release review,WS-10
GOV-005,governance,No unsupported production claims,proven,README/audit reconciled and validator bans stale claims,Continue claim review per slice,WS-12
PROD-001,product,Critical brief to governed package journey,proven,a89907f; src/components/WorkspaceRuntime.tsx; integrated local SPA/session/provider/run smoke; non-root package smoke,Preserve focused regression and add real provider gateway separately,WS-04
PROD-002,product,External publication and spend disabled,proven,health API tool adapters and package assertions,Keep fail closed,WS-08
PROD-003,product,Loading empty partial degraded and failure states,proven,"8eb0cf7dee9b3400351a8b7d603a94666253f1e7; pending/unknown/succeeded/replayed publication states, destructive confirmation, receipt display and Instagram missing-media gate have API, frontend and Chromium contracts",Validate authorized sandbox provider-specific error states only after explicit approval,WS-05
PROD-004,product,No critical placeholders or misleading mocks,proven,8eb0cf7dee9b3400351a8b7d603a94666253f1e7; publication UI derives account/artifact/Greenlight readiness from server state; browser and package fixtures are test-only and real provider HTTP remains zero,Preserve default-disabled disclosure and avoid representing sandbox evidence as production publication,WS-05
PROD-005,product,Target users and jobs documented,incomplete,Goal and current program docs,Add user journeys and acceptance evidence,WS-02
ENG-001,engineering,Architecture reviewed and current,weak_evidence,program/architecture.md plus branch comparison,Independent architecture review,WS-01
ENG-002,engineering,Schemas and migrations reviewed,weak_evidence,SQLite schema PostgreSQL schema migration gate,Add formal schema compatibility audit,WS-03
ENG-003,engineering,Versioned API contracts,incomplete,/api/v1 and FastAPI metadata,Add checked OpenAPI and structured error contract,WS-04
ENG-004,engineering,Data correctness and transactions,weak_evidence,SQLite/PostgreSQL tests and transactional audit,Expand invariants and restore verification,WS-03
ENG-005,engineering,Durable command idempotency,proven,bc01fa7b54341865f848c0754884cc83f660a0c7; GitHub Actions 29871278876; backend/tests/test_idempotency.py; backend/tests/test_postgres_runtime.py,Preserve regression and require separate outbound provider receipts before external effects,WS-04
ENG-006,engineering,Concurrency correctness,weak_evidence,PostgreSQL Greenlight/rate-limit concurrency tests,Add duplicate run/idempotency races and load evidence,WS-04
ENG-007,engineering,Application and data rollback,missing,Only narrative migration rollback exists,Implement rollback drill and runbook,WS-09
ENG-008,engineering,Reproducible builds and tests,proven,hash locks wheel gates npm lock CI,Preserve,WS-12
ENG-009,engineering,Version consistency across artifacts,proven,npm Python API metrics OCI and Helm all report 0.7.0,Bump through shared version contract,WS-12
DATA-001,data,SQLite durable single-replica state,proven,persistence tests and package smoke,Add backup/restore,WS-03
DATA-002,data,PostgreSQL shared tenant state,proven,PostgreSQL tests migration and CI,Add backup/restore/capacity evidence,WS-03
DATA-003,data,SQLite to PostgreSQL migration,proven,verify-postgresql-runtime migration dry-run/apply/replay checks,Add cutover drill documentation,WS-03
DATA-004,data,Backup encryption and retention,missing,Local checksummed backups and restores pass but encryption scheduling immutability retention and KMS are absent,Implement authorized environment controls,WS-03
SEC-001,security,Server-side authentication,proven,auth.py bearer/session tests,Threat review,WS-07
SEC-002,security,Server-side RBAC authorization,proven,viewer operator approver admin tests,Review audit visibility,WS-07
SEC-003,security,Tenant binding and cross-tenant denial,proven,tenant-scoped keys and negative tests,Add metadata leakage red team,WS-07
SEC-004,security,Threat model for selected architecture,proven,docs/security/threat-model.md covers selected runtime assets trust boundaries STRIDE evidence and residual gates,Re-run on every trust-boundary change,WS-07
SEC-005,security,Privacy model and data classification,proven,docs/privacy/privacy-model.md and data-classification-retention.md map data purpose minimization telemetry backups and uncertainty,Obtain human policy approval and implement retention/deletion separately,WS-07
SEC-006,security,Secret handling and no frontend secrets,proven,"e3bca9c95a3080e1e7677454996d9ad56469b4f4; AES-GCM token storage, AAD, key rotation, no browser token fields, Gitleaks zero and package secret assertions",Use KMS-backed keys and formal rotation before production,WS-07
SEC-007,security,Audit ledger and denial evidence,proven,8eb0cf7dee9b3400351a8b7d603a94666253f1e7; deterministic token-free publication success/reconciliation/revocation audit events are idempotent and replay repairs a missing success event without a second effect,Production immutable audit export remains under global operability work,WS-07
SEC-008,security,Dependency vulnerability and license review,proven,SBOM Grype license policy provenance Cosign gates,Monitor expiry,WS-11
SEC-009,security,Zero open CRITICAL/HIGH findings,contradicted,Six HIGH global release findings remain open or externally blocked; zero CRITICAL findings are open,Close executable findings and preserve exact external blockers,WS-10
SEC-010,security,Uniform errors and metadata leakage prevention,proven,public-error.v1 hides auth state role permission foreign IDs conflicts input and internal exception messages,Preserve regression and verify proxy/platform telemetry,WS-07
SEC-011,security,Rate limiting and abuse controls,proven,Durable credential/source buckets and tests,Add distributed edge strategy,WS-07
SEC-012,security,Revocation behavior,proven,8eb0cf7dee9b3400351a8b7d603a94666253f1e7; disconnect and Greenlight revocation revoke unused pending publication authority while succeeded/unknown records remain durable,Exercise revocation against authorized sandbox accounts only after human approval,WS-04
UX-001,ux,Documented design system,proven,8ecf77e7f58789d1e5b47826b595b172bac6fa89; docs/design-system/accessibility-themes.md; executable semantic token catalog,Preserve design-system/theme contract,WS-06
UX-002,ux,Four political themes plus paid premium theme,proven,f63a58648eec0579d53a007c8ed83ff376b95727; 8ecf77e7f58789d1e5b47826b595b172bac6fa89; four free named themes plus exact server-owned theme:premium entitlement,Add billing only through a separate reviewed provider contract,WS-06
UX-003,ux,Responsive behavior,weak_evidence,a89907f; real Chromium 320 CSS px no-overflow evidence for mission workspace and Settings; responsive CSS,Human mobile/tablet/desktop visual review,WS-06
UX-004,ux,Keyboard and focus,weak_evidence,"a89907f; skip-link focus, modal focus trap, Escape close, focus restoration and keyboard theme activation tests",Complete human keyboard traversal,WS-06
UX-005,ux,Screen-reader semantics,weak_evidence,"a89907f; Chromium accessibility tree proves Settings dialog, theme names, pressed and disabled semantics",Complete human screen-reader review,WS-06
UX-006,ux,Contrast and non-color-only status,weak_evidence,8ecf77e7f58789d1e5b47826b595b172bac6fa89; executable WCAG contrast ratios and text/aria selected-state contract,Measure rendered controls and review screenshots,WS-06
UX-007,ux,Zoom and reflow,weak_evidence,a89907f; real Chromium 320 CSS px reflow for primary workspace and progressive dialogs PASS,Human 400 percent zoom and representative viewport review,WS-06
UX-008,ux,Reduced motion,weak_evidence,a89907f; real Chromium reduced-motion emulation and zero View Transition calls PASS,Human reduced-motion visual review,WS-06
UX-009,ux,No keyboard traps,weak_evidence,a89907f; useModalDialog bidirectional Tab trap tests plus Chromium Escape/focus restoration PASS,Complete human full-page trap traversal,WS-06
OPS-001,operations,Environment strategy development test staging production,incomplete,Helm/Terraform local path and no authorized cloud target,Define target strategy,WS-09
OPS-002,operations,Structured logs metrics health readiness,proven,observability.py endpoints tests,Observe in staging,WS-09
OPS-003,operations,Distributed tracing or explicit decision,proven,6a885827b7e89d06111c87c34293250eab196d47; docs/adr/0009-distributed-tracing-decision.md,Revisit before any multi-service/effectful architecture and prove traces in staging,WS-09
OPS-004,operations,Alert definitions,proven,6a885827b7e89d06111c87c34293250eab196d47; ops/alert-catalog.json; infra/monitoring/prometheus-rules.yaml; scripts/verify-operability.py,Load the validated rules into an authorized persistent monitoring system,WS-09
OPS-005,operations,Alert exercised,weak_evidence,6a885827b7e89d06111c87c34293250eab196d47; ops/alert-exercises.json; backend/tests/test_operability.py,Exercise alert delivery and human response in authorized staging,WS-09
OPS-006,operations,SLOs and error budgets,proven,6a885827b7e89d06111c87c34293250eab196d47; ops/slo-catalog.json; scripts/verify-operability.py,Observe SLI/error-budget consumption in staging before release,WS-09
OPS-007,operations,Backup implementation,incomplete,6a885827b7e89d06111c87c34293250eab196d47; private atomic freshness textfiles and local restore drills,"Provide authorized scheduler, KMS/encryption, immutable off-host storage, retention and alert delivery",WS-03
OPS-008,operations,Restore drill,proven,representative SQLite/PostgreSQL restores preserve counts/schema and application readability,Repeat in authorized staging,WS-03
OPS-009,operations,Deployment runbook,weak_evidence,6a885827b7e89d06111c87c34293250eab196d47; docs/OPERATIONS.md and existing deployment procedures,Complete authorized environment-specific deployment procedure and staging execution,WS-09
OPS-010,operations,Rollback runbook and drill,weak_evidence,6a885827b7e89d06111c87c34293250eab196d47; docs/runbooks/release-rollback.md; local agentless Helm rollback drill,Exercise workload/traffic rollback and RTO in authorized staging,WS-09
